model,avg_auc,std_auc,avg_precision,avg_recall,avg_f1,avg_brier,avg_precision_at_90_recall
Logistic,0.9579395580708974,0.023175986115982837,0.9066323280871916,0.8755117361584281,0.8907933939958772,0.019091056555182763,0.6430550568145361
RandomForest,0.9399111526723136,0.03382130949435643,0.8980898727465535,0.8955917987866153,0.896786005045627,0.017711202348213866,0.5963658929739815
XGBoost,0.9483320589855595,0.028362208694454827,0.9234749694499568,0.8863731133794222,0.9045237454532806,0.013017580724086025,0.5390968669371282
Ensemble,0.9498724369999865,0.022076620887269426,0.9078670256559273,0.8888121377696659,0.8982012236176642,0.014219335935259494,0.5984101058329016
